Hebrew,English
יד רמב''ם,Yad Rambam
יהוד מונוסון,Yehud Monoson
יסודות,Yesodot
יציץ,Yatzitz
יקום,Yakum
ירחיב,Yarhiv
ירקונה,Yarkona
ישעי,Yish'i
ישרש,Yashresh
כסלון,Ksalon
כפר אוריה,Kfar Oriya
כפר ביל''ו,Kfar Bilu
כפר בן נון,Kfar Ben Nun
כפר ברא,Kfar Bara
כפר דניאל,Kfar Daniel
כפר האורנים,Kfar Ha-Oranim
כפר הנוער קריית יערים,Kiryat Yearim Youth Village
כפר הס,Kfar Hess
כפר חב''ד,Kfar Habad
כפר טרומן,Kfar Truman
כפר מל''ל,Kfar Malal
כפר נוער בן שמן,Ben Shemen Youth Village
כפר נטר,Kfar Netter
כפר סבא,Kfar Saba
כפר סירקין,Kfar Sirkin
כפר עבודה,Kfar Avoda
כפר קאסם,Kafr Qassem
כפר רות,Kfar Ruth
כפר שמואל,Kfar Shmuel
כפר שמריהו,Kfar Shmaryahu
כרמי יוסף,Carmei Yosef
לוד,Lod
לטרון,Latrun
לפיד,Lapid
מבוא חורון,Mevo Horon
מבוא מודיעים,Mevo Modi'im
מגשימים,Magshimim
מודיעין - ישפרו סנטר,Modiin (Ishpro Center)
מודיעין - ליגד סנטר,Modiin (Ligad Center)
מודיעין מכבים רעות,Modiin Maccabim Reut
מודיעין עילית,Modiin Ilit
מזור,Mazor
מזכרת בתיה,Mazkeret Batya
מחסיה,Mahseya
מיני ישראל - נחשון,Mini Israel - Nachshon
מכון וינגייט,Wingate Institute
מסילת ציון,Mesilat Zion
מעש,Kfar Ma'as
מצליח,Matsli'ah
מקווה ישראל,Mikveh Israel
מרכז אזורי דרום השרון,Drom HaSharon Regional Council
משמר איילון,Mishmar Ayalon
משמר דוד,Mishmar David
משמר השבעה,Mishmar HaShiv'a
משמרת,Mishmeret
"מתחם ""חנה וסע"" שפיים","Shefayim (Park And Ride)"
מתחם פי גלילות,Pi Glilot Complex
מתן,Matan
מתתיהו,Mattithiah
נאות קדומים,Neot Kedumim
נווה אילן,Neve Ilan
נווה ימין,Neve Yamin
נווה ירק,Neve Yarak
נווה שלום,Neve Shalom
נוף איילון,Ayalon View
נופך,Nofekh
נחלים,Nehalim
נחם,Naham
נחשון,Nachshon
נחשונים,Nahshonim
נטעים,Neta'im
נטף,Nataf
נילי,Nili
ניר אליהו,Nir Eliyahu
ניר צבי,Nir Zvi
נירית,Nirit
נס ציונה,Ness Ziona
נעלה,Na'ale
נען,Naan
נצר חזני,Netzer Hazani
נצר סרני,Netzer Sereni
נתניה - מזרח,Netanya (East)
נתניה - מערב,Netanya (West)
סביון,Savyon
סינמה סיטי גלילות,Cinema City Glilot
סתריה,Sitria
עדנים,Adanim
עופרים,Oferim
עזריה,Azaria
עיינות,Ayanot
עין ורד,Ein Vered
עין שריד,Ein Sarid
עינת,Einat
עלי זהב,Alei Zahav
עץ אפרים,Ets Efraim
פארק תעשיות פלמחים,Palmachim Industrial Park
פדואל,Pedu'el
פדיה,Pedaya
פתח תקווה,Petah Tikva
פתחיה,Petahia
צופית,Tzofit
צלפון,Tslafon
צפריה,Tzafria
צרעה,Tsor'a
קריית אונו,Kiryat Ono
קריית יערים,Kiryat Yearim
קריית עקרון,Kiryat Ekron
ראש העין,Rosh Haayin
ראשון לציון - מזרח,Rishon Lezion (East)
ראשון לציון - מערב,Rishon Lezion (West)
רחובות,Rehovot
רטורנו - גבעת שמש,Givat Shemesh
רינתיה,Rinatya
רמות השבים,Ramot HaShavim
רמות מאיר,Ramot Meir
רמלה,Ramla
רמת גן - מזרח,Ramat Gan (East)
רמת גן - מערב,Ramat Gan (West)
רמת הכובש,Ramat HaKovesh
רמת השרון,Ramat Hasharon
רמת רזיאל,Ramat Raziel
רעננה,Raanana
רשפון,Rishpon
שדה ורבורג,Warburg Field
שדי חמד,Sdei Hemed
שואבה,Sho'eva
שוהם,Shoham
שורש,Shoresh
שילת,Shilat
שעלבים,Sha'alvim
שער הגיא,Sha'ar Hagai
שערי תקווה,Sha'arei Tikva
שפיים,Shefaim
תחנת רכבת ראש העין,Rosh Haayin (Train Station)
תל אביב - דרום העיר ויפו,Tel Aviv (South & Jaffa)
תל אביב - מזרח,Tel Aviv (East)
תל אביב - מרכז העיר,Tel Aviv (City Center)
תל אביב - עבר הירקון,Tel Aviv (Ever HaYarkon)
תל יצחק,Tel Yitzhak
תל מונד,Tel Mond
תעוז,Ta'oz
תעשיון חצב,Taasi'on Khatsav
תעשיון צריפין,Tsrifin (Industrial Area)
תרום,Tarum
אבו גוש,Abu Ghosh
אביחיל,Avichail
אביעזר,Aviezer
אבן ספיר,Even Sapir
אדרת,Aderet
אורה,Ora
אורות,Orot
אזור תעשייה אריאל,Ariel (Industrial Area)
אזור תעשייה באר טוביה,Beer Tuvia (Industrial Area)
אזור תעשייה ברוש,Beit Shemesh (Industrial Area)
אזור תעשייה ברקן,Barkan (Industrial Area)
אזור תעשייה גדרה,Gedera (Industrial Area)
אזור תעשייה טירה,Tira (Indutsrial Area)
אזור תעשייה כנות,Kanno t(Industrial Area)
אזור תעשייה כפר יונה,Kfar Yona (Industrial Area)
אזור תעשייה רבדים,Revadim (Industrial Area)
אזור תעשייה שער בנימין,Sha'ar Binyan (Industrial Area)
אזור תעשייה תימורים,Timor (Industrial Area)
אחווה,Ahva
אל עזי,Al-'Azi
אלון שבות,Alon Shvut
אלעזר,Elazar
אפרת,Efrat
אריאל,Ariel
"אשדוד - א,ב,ד,ה","Ashdod (Aleph, Beit, Dalet, Hey)"
אשדוד - איזור תעשייה צפוני,Ashdod - Northern Industrial Area
"אשדוד - ג,ו,ז","Ashdod (Gimmel, Vav, Zayin)"
בורגתה,Burgata
ביצרון,Bitzaron
בית אל,Bet El
בית אלעזרי,Beit Elazari
בית גמליאל,Beit Gamliel
בית זית,Beit Zayit
בית חורון,Beit Horon
בית חלקיה,Beit Hilkia
בית יצחק - שער חפר,Beit Yitzhak - Shaar Hefer
בית ניר,Beit Nir
בית נקופה,Beit Nekofa
בית שמש,Beit Shemesh
ביתן אהרן,Bitan Aharon
ביתר עילית,Beitar Illit
בן זכאי,Ben Zakkai
בני דרום,Bnei Darom
בני עי''ש,Bnei Ayish
בני ראם,Bnei Re'em
בניה,Bnaya
בר גיורא,Bar Giora
ברוכין,Bruchin
ברקן,Barkan
בת חן,Bat Chen
בת עין,Bat Ain
גאולים,Geulim
גבע בנימין,Geva Binyamin
גבעון החדשה,Giv'on HaHadasha
גבעות,Gva'ot
גבעות עדן,Giv'ot Eden
גבעת אסף,Givat Assaf
גבעת וושינגטון,Givat Washington
גבעת זאב,Givat Zeev
גבעת יערים,Givat Yearim
גבעת ישעיהו,Givat Yeshayahu
גבעת שפירא,Givat Shapira
גדרה,Gedera
גן הדרום,Southern Garden
גן יבנה,Gan Yavne
גנות הדר,Ganot Hadar
גני טל,Ganei Tal
גפן,Gefen
דולב,Dolev
הדר עם,Hadar Am
המרכז האקדמי רופין,Ruppin Academic Center
הר אדר,Har Adar
הר גילה,Har Gillo
זכריה,Zechariah
זנוח,Zano'ah
חבצלת השרון וצוקי ים,Havatzelet Hasharon and Sea Cliffs
חוות יאיר,Havot Yair
חלמיש,Halamish
חניאל,Haniel
חפץ חיים,Chafetz Chaim
חצב,Hatsav
חצור,Hatsor (Hatzor Ashdod)
חרשה,Horasha
טייבה,Tayibe
טלמון,Talmon
יבנה,Yavne
יד בנימין,Yad Binyamin
ינוב,Yanov
ינון,Yinon
יעף,Ye'af
יקיר,Yakir
ירושלים - אזור תעשייה עטרות,Jerusalem (Atarot Industrial Zone)
ירושלים - דרום,Jerusalem  (South)
ירושלים - כפר עקב,Jerusalem (Kafr Aqeb)
ירושלים - מזרח,Jerusalem  (East)
ירושלים - מערב,Jerusalem (West)
ירושלים - מרכז,Jerusalem (Center)
ירושלים - צפון,Jerusalem (North)
כוכב יאיר - צור יגאל,Kokhav Ya'ir - Tzur Yigal
כוכב יעקב,Kokhav Ya'akov
כנות,Kannot
כפר אביב,Kfar Aviv
כפר אחים,Kfar Achim
כפר הנגיד,Kfar HaNagid
כפר הרי''ף וצומת ראם,Kfar Al-hrif and Ram Junction
כפר חיים,Kfar Haim
כפר ידידיה,Kfar Yedidiya
כפר יונה,Kfar Yona
כפר יעבץ,Kfar Yavetz
כפר מונש,Kfar Monash
כפר מנחם,Kfar Menachem
כפר מרדכי,Kfar Mordechai
כפר עציון,Kfar Etzion
כרם ביבנה,Kerem B'Yavneh
כרם רעים,Kerem Reim
כרמי צור,Carmi Tzur
לוזית,Luzit
מבוא ביתר,Mevo Beitar
מבשרת ציון,Mevaseret Zion
מגדל עוז,Migdal Oz
מגרון,Migron
מוצא עילית,Motza Illit
מטע,Mata
מישר,Meishar
מעון צופיה,Maon Tsofia
מעלה החמישה,Ma'ale HaHamisha
מפעל אגריגדה,Agridera Factory
משגב דב,Misgav Dov
מתחם בני דרום,Bnei Darom Complex
נבי סמואל,Nebi Smuel
נווה דניאל,Neve Daniel
נווה מבטח,Neve Mivtach
נווה מיכאל - רוגלית,Roglit
נופים,Nofim
נורדיה,Nordia
נחושה,Nehusha
נחליאל,Nahliel
ניר גלים,Nir Galim
נס הרים,Nes Harim
נעורים,Neurim
נריה,Neria
נתיב הל''ה,Netiv HaLamed-Heh
סלעית,Sal'it
עגור,Agur
עזריאל,Azriel
עטרת,Ateret
עין נקובא,Ein Naqquba
עין ראפה,Ein Rafa
עמינדב,Aminadav
עמנואל,Emmanuel
עפרה,Ofra
ערוגות,Arugot
עשרת,Aseret
פארק תעשיות מגדל עוז,Oz Tower (Industrial Park)
פארק תעשייה ראם,Ram (Industrial Park)
פורת,Porat
פלמחים,Palmachim
פנימיית עין כרם,Ein Kerem Boarding School
פסגות,Psagot
פרדסיה,Pardesiya
צובה,Tsuba
צומת האלה,Tzomet Ha'Ela
צומת הגוש,Tzomet HaGush
צופים,Tzofim
צור הדסה,Tzur Hadassah
צור יצחק,Tzur Yitzhak
צור משה,Tzur Moshe
צור נתן,Tzur Nathan
צפרירים,Tzafririm
קבוצת יבנה,Kvutzat Yavne
קדימה צורן,Kadima Zoran
קדרון,Kidron
קלנסווה,Qalansawe
קריית מלאכי,Kiryat Malachi
קריית נטפים,Kiryat Netafim
קריית ענבים,Kiryat Anavim
קרני שומרון,Karnei Shomron
ראש צורים,Rosh Tzurim
רבבה,Revava
רבדים,Revadim
שדות מיכה,Micah Fields
שדמה,Shdema
שושנת העמקים,Shoshanat HaAmakim
שער אפרים,Sha'ar Efraim
שריגים - לי-און,Srigim-Li On
שתולים,Shtulim
תחנת רכבת קריית מלאכי - יואב,Kiryat Malachi - Yoav Train Station
תימורים,Timorim
תירוש,Tirosh
תל ציון,Tel Zion
תלמי יחיאל,Talmei Yehi'el
תנובות,Tnuvot
ניר יצחק,Nir Yitzhak
סופה,Sufa
